Airport,longitude,latitude,Heading,Tilt,Range,population
Tacheng,83.35895835,46.67991385,-14.92695464,4.64E-11,27673.71299,0
Zhoushan 舟山,122.409329,29.94208971,2.061848766,9.774656849,30674.95382,0
Luocheng 洛城,111.5925611,22.70855323,-0.791588143,1.19E-10,19964.79907,0
Ji'an 吉安,114.596298,26.36418609,0.27772737,2.11E-11,21395.59652,0
Xiongzhou 雄州,114.6178914,25.54604398,0.293681751,2.09E-11,12845.62726,0
Dingxi 定西,107.6416394,35.80287189,-3.283515321,2.88E-11,11736.99796,0
Chengde 承德,116.6197082,41.26332598,5.711232932,2.93E-11,24037.80149,0
Pingquan 平泉,118.684139,40.89811843,7.068537915,3.39E-11,20489.26345,0
Germu 格尔木,94.80892961,36.40545839,-4.657648881,1.76E-11,10387.01007,0
Lanzhou 兰州,103.622834,36.51823659,-4.409555045,1.32E-11,11563.06657,0
Qiongzhong,109.1663211,18.69355849,-1.455137547,1.81E-11,5091.983512,0
Wuyishan 武夷山,118.0065553,27.68653598,1.510469009,1.13E-11,16660.51793,0
Laohekou 老河口,111.6944871,32.39573859,-0.688158633,6.03E-12,21686.33044,0
Xincheng 忻城,115.8197455,24.18761912,0.547280416,1.18E-11,36869.79909,0
Luyang 洛阳,112.8929222,33.69706392,-0.03803151,6.03E-12,21686.33044,0
Jincheng 晋城,113.1342302,36.21806335,0.105811592,1.16E-11,21686.33044,0
Pingshuo 平朔,111.8059616,39.07706858,5.24204703,1.92E-12,35464.26584,0
Shahe 沙河,114.466607,36.89993408,-12.7872961,6.53E-11,31211.90597,0
Lianyungang 连云港,118.8860844,34.56985259,-10.28998558,7.12E-11,18062.07988,0
Rikaze 日喀则,89.3612041,29.33431435,-5.219438571,3.91E-13,41320.57615,0
Hanzhong 汉中,107.0123716,33.06539926,-1.109786827,8.17E-12,19953.09545,0
Wenshan 汶山,103.8415742,23.71979057,1.800290114,0,12491.47725,0
Midu,100.7298359,25.44732988,0.523493713,4.93E-12,18851.83683,0
Changdu 昌都,97.11637594,30.56009276,-1.133757155,2.37E-12,19636.70744,0
Jinghong 景洪,100.7710833,21.97016098,0.639355919,6.09E-12,23267.40621,0
Lishan 骊山,109.1246983,34.36643681,-3.158601296,9.774656849,20360.57359,0
Yan'an 延安,109.5189727,36.63708153,-2.928451165,9.774656849,22120.73141,0
Mizhi 米脂,110.0748825,37.87455632,-2.587772446,9.77465685,20372.26032,0
Yulin 榆林,109.7233923,38.26544412,-2.804520487,9.774656849,30473.13372,0
chifeng2 赤峰2,118.8561102,42.17677592,-0.258877853,9.774656849,20329.26938,0
chifeng 赤峰,118.948467,42.268692,-0.19682107,9.774656849,20329.26938,0
tongliao 通辽,122.2495296,43.57663365,2.049270024,9.774656849,20329.26938,0
zhengjiatun 郑家屯,123.5566787,43.56092306,2.951807415,9.774656849,20329.26938,0
Hailar 海拉尔,119.7831459,49.22128184,0.210226505,9.77465685,20297.18502,0
bose,106.9542921,23.73070788,0.670328863,0,11783.98212,0
Qujing,103.790991,25.57477523,-0.690120398,5.15E-12,20055.51027,0
Dayong,110.4738053,29.10554997,-0.707807331,4.77E-11,20029.03605,0
xichang 西昌,102.1959627,27.99275046,-0.928927362,3.66E-11,20029.87698,0
yibin 宜宾,104.5896163,28.7860552,-0.439631199,3.23E-11,20047.22614,0
daxian 达县,107.4063769,31.14598222,1.065993367,3.74E-11,19999.46282,0
Yongchang 永昌,105.756407,29.63166814,0.729220817,3.93E-11,19999.46282,0
meishan 眉山,103.8538917,30.25021164,-0.123527798,4.20E-11,20029.87698,0
HengNan 衡南,112.8843871,26.58552336,0.420810329,4.74E-11,20060.21129,0
Baoshan 宝山,99.17906096,25.0486134,4.265858099,2.94E-11,16342.8361,0
Luxi 泸西,98.53119557,24.40601207,3.990178973,3.84E-11,12454.47898,0
Pingnan 平南,110.5209619,23.47709907,-14.75983912,1.20E-10,8799.983506,0
Matong,110.0173437,23.33298238,-14.96006251,1.14E-10,32011.21997,0
Shaodong,111.6857299,27.24323054,-14.21054272,1.16E-10,13586.42264,0
Anshun 安顺,105.8706174,26.26360693,8.284528563,1.22E-10,8116.806151,0
Houma,110.3526961,34.86571362,-3.129030236,1.34E-10,11128.6579,0
Simao 思茅,100.9584721,22.78776486,4.966705821,4.52E-11,24855.08359,0
Ganzhou 赣州,114.9249012,25.83984876,-12.70603639,1.13E-10,10801.79986,0
Guilin 桂林,110.3231348,25.19537046,0.553966802,3.90E-11,6113.545138,0
Guilin 桂林2,110.0415331,25.22253509,0.434311868,6.06E-11,6203.9055,0
Qizhou 蕲州,112.9825305,38.61524797,-1.568120097,1.27E-10,13592.03713,0
Linfen 临汾,111.4937041,36.04470018,-2.466272283,1.34E-10,10151.19835,0
Haikou 海口,110.4536162,19.9383914,1.629860761,1.12E-10,13347.24826,0
Taiyuan 太原,112.6339051,37.75144457,-1.786163554,1.08E-10,4317.469833,0
Nanning 南宁,108.1694804,22.61930227,-11.21848228,9.15E-11,12035.96577,0
Taibei Songshan TW台湾松山,121.5601576,25.07102784,1.304529264,3.92E-10,7341.013676,0
Lingshui 陵水,109.9872586,18.49433689,1.484136251,1.01E-10,3850.531047,0
Pingdong south TW 屏东台湾,120.4654207,22.67483467,0.881630579,4.77E-10,8881.583129,0
Kangshan TW康山台湾,120.2636577,22.77865114,0.766674937,3.68E-10,10451.98836,0
Sanya 三亚,109.4167131,18.3069051,-10.9987858,9.81E-11,7731.558578,0
IIan TW台湾,121.7500176,24.72963649,1.383384626,4.93E-10,1643.583295,0
Gaoxiong TW台湾,120.3550715,22.57412199,0.802219829,3.61E-10,9032.48459,0
